headlines,sources,links
IRFC open to fund extended network of ‘bullet train’,The Hindu Businessline,https://www.thehindubusinessline.com/news/irfc-open-to-fund-extended-network-of-bullet-train/article33852471.ece
RailTel IPO opens for subscription: Should you invest in another PSU firm after IRFC’s weak listing?,Financial Express,https://www.financialexpress.com/market/ipo-news/railtel-ipo-opens-for-subscription-should-you-invest-in-another-psu-firm-after-irfcs-weak-listing/2195606/
"Mutual Funds Invest Rs 1,200 Crore In IPOs In January, IRFC The Biggest Gainer",Moneycontrol,https://www.moneycontrol.com/news/business/markets/mutual-funds-invest-rs-1200-crore-in-ipos-in-january-irfc-the-biggest-gainer-6508571.html
"Amid heavy redemption, mutual funds put in big money in 4 IPOs and made a killing",Economic Times,https://economictimes.indiatimes.com/markets/ipos/fpos/amid-heavy-redemption-mutual-funds-put-in-big-money-in-4-ipos-and-made-a-killing/articleshow/80919822.cms
"RIL, Infosys shares offloaded: Mutual Funds sell index heavyweights, go IPO shopping in January",Financial Express,https://www.financialexpress.com/market/ril-infosys-shares-offloaded-mutual-funds-sell-index-heavyweights-go-ipo-shopping-in-january/2194996/
IRFC gains after Q3 PAT rises 15% YoY,Business Standard,https://www.business-standard.com/article/news-cm/irfc-gains-after-q3-pat-rises-15-yoy-121021500213_1.html
Results: IRFC logs 15% rise in net profit for October-December,Free Press Journal,https://www.freepressjournal.in/business/results-irfc-logs-15-rise-in-net-profit-for-october-december
Mutual Funds Love IRFC but the Stock Market Doesn’t,Investing.com,https://in.investing.com/news/mutual-funds-love-irfc-but-the-stock-market-doesnt-2610593
IRFC Q3 net up 15%; declares interim dividend of ₹1.05 a share,The Hindu Businessline,https://www.thehindubusinessline.com/companies/irfc-q3-net-up-15-declares-interim-dividend-of-105-a-share/article33835869.ece
IRFC lists $750 m bonds on India INX,The Hindu Businessline,https://www.thehindubusinessline.com/markets/stock-markets/irfc-lists-750-m-bonds-on-india-inx/article33823516.ece
"We’ve had no NPAs, plan to keep it that way: Amitabh Banerjee, CMD, IRFC",Business Standard,https://www.business-standard.com/article/companies/we-ve-had-no-npas-plan-to-keep-it-that-way-amitabh-banerjee-cmd-irfc-121021201626_1.html
IRFC lists $750-mn medium-term note on India INX,Economic Times,https://economictimes.indiatimes.com/markets/bonds/irfc-lists-750-mn-medium-term-note-on-india-inx/articleshow/80880830.cms
IRFC lists USD 750 mn 10-year Bond at India INX in GIFT IFSC,Business Standard,https://www.business-standard.com/article/news-cm/irfc-lists-usd-750-mn-10-year-bond-at-india-inx-in-gift-ifsc-121021201304_1.html
IRFC Lists $750 Million Medium-term Note On India INX,Moneycontrol,https://www.moneycontrol.com/news/business/markets/irfc-lists-750-million-medium-term-note-on-india-inx-6503461.html
Indian Railway Finance Corporation Sells $750 Million Worth of Bonds at 2.8 percent,News18,https://www.news18.com/news/business/indian-railway-finance-corporation-sells-750-million-worth-of-bonds-at-2-8-percent-3392501.html
IRFC raises $750 mn in ECBs at a fixed 2.8% for 10 years,The Hindu Businessline,https://www.thehindubusinessline.com/markets/stock-markets/irfc-raises-750-mn-in-ecbs-at-a-fixed-28-for-10-years/article33752365.ece
IRFC mops up $750 mn in maiden bond sale after listing,Economic Times,https://economictimes.indiatimes.com/markets/bonds/irfc-mops-up-750-mn-in-maiden-bond-sale-after-listing/articleshow/80691229.cms
"IRFC, 3 others plan to raise $2b via bonds",Economic Times,https://economictimes.indiatimes.com/markets/bonds/four-companies-aim-to-raise-2-bn-via-overseas-bond-sales-post-budget/articleshow/80653490.cms
Indian Railway Finance Corporation Shares Fall 4.4% To Close At Rs 24.85 On Debut,Moneycontrol,https://www.moneycontrol.com/news/business/ipo/indian-railway-finance-corporation-shares-fall-4-4-to-close-at-rs-24-85-on-debut-6417521.html
"IRFC slips 5% on debut, weighed down by 7% fall in market since firm’s IPO",Business Standard,https://www.business-standard.com/article/markets/irfc-slips-5-on-debut-weighed-down-by-7-fall-in-market-since-firm-s-ipo-121012901280_1.html
