headlines,sources,links,head_line,Date,story
BRIEF-Reliance Industries Says Unit Signs Agreement To Sell Assets In Marcellus Shale Play,Investing.com,https://in.investing.com/news/briefreliance-industries-says-unit-signs-agreement-to-sell-assets-in-marcellus-shale-play-2593525,BRIEF-Reliance Industries Says Unit Signs Agreement To Sell Assets In Marcellus Shale Play,"Reuters
Stock Market News
2021-02-04 05:36","Feb 4 (Reuters) - Reliance Industries Ltd RELI.NS :
* RELIANCE INDUSTRIES - RELIANCE MARCELLUS SIGNS AGREEMENT TO SELL ASSETS IN MARCELLUS SHALE PLAY OF SOUTH-WESTERN PENNSYLVANIA
* RELIANCE INDUSTRIES - DEAL FOR CONSIDERATION OF $250 MILLION CASH AND WARRANTS
* RELIANCE INDUSTRIES LTD - ASSETS HAVE BEEN AGREED TO BE SOLD TO NORTHERN OIL AND GAS, INC"
BRIEF-India’s Reliance Industries Dec-Qtr Consol Net Profit Rises,Investing.com,https://in.investing.com/news/briefindias-reliance-industries-decqtr-consol-net-profit-rises-2576339,BRIEF-India's Reliance Industries Dec-Qtr Consol Net Profit Rises,"Reuters
Stock Market News
2021-01-22 14:30","Jan 22 (Reuters) - Reliance Industries Ltd RELI.NS :
* INDIA'S RELIANCE INDUSTRIES DEC-QUARTER CONSOL NET PROFIT 131.01 BILLION RUPEES VERSUS PROFIT 116.40 BILLION RUPEES YEAR AGO
* RELIANCE INDUSTRIES CONSENSUS FORECAST FOR DEC-QUARTER CONSOL PROFIT WAS 110.09 BILLION RUPEES -- REFINITIV DATA
* RELIANCE INDUSTRIES DEC-QUARTER CONSOL REVENUE FROM OPERATIONS 1.24 TRLN RUPEES VERSUS 1.57 TRLN RUPEES YEAR AGO
* RELIANCE INDUSTRIES DEC-QUARTER PROFIT 86.28 BILLION RUPEES VERSUS PROFIT 95.85 BILLION RUPEES YEAR AGO
* RELIANCE INDUSTRIES DEC-QUARTER REVENUE FROM OPERATIONS 674 BILLION RUPEES VERSUS 903.92 BILLION RUPEES YEAR AGO
* RELIANCE INDUSTRIES - GROUP'S OPERATIONS AND REVENUE DURING THE PERIOD WERE IMPACTED DUE TO COVID-19
* RELIANCE INDUSTRIES - WITH EFFECT FROM THIS QUARTER, CO WILL DISCLOSE OIL TO CHEMICALS AS A SEPARATE BUSINESS SEGMENT"
"BRIEF-Reliance Industries Says Generated Excess Of 50,000 New Jobs During April–Dec 2020",Investing.com,https://in.investing.com/news/briefreliance-industries-says-generated-excess-of-50000-new-jobs-during-aprildec-2020-2576357,"BRIEF-Reliance Industries Says Generated Excess Of 50,000 New Jobs During April–Dec 2020","Reuters
Stock Market News
2021-01-22 14:42","Jan 22 (Reuters) - Reliance Industries Ltd RELI.NS :
* RELIANCE INDUSTRIES SAYS GENERATED EXCESS OF 50,000 NEW JOBS DURING APRIL – DEC 2020 IN CONSUMER BUSINESSES & LAST MILE DELIVERY
* RELIANCE INDUSTRIES SAYS OIL-TO-CHEMICALS (O2C) BUSINESS HAS FORMALLY REORGANISED ITS REPORTING SEGMENTS
* RELIANCE INDUSTRIES SAYS OUTSTANDING DEBT AS ON DEC 31, 2020 AT 2.57 TRLN RUPEES; CASH AND CASH EQUIVALENTS AT 2.21 TRLN RUPEES
* RELIANCE INDUSTRIES - KGD6 EXPECTED TO REACH PLATEAU PRODUCTION OF ABOUT 12.9 MMSCMD IN H2 CY 2021
* RELIANCE INDUSTRIES SAYS O2C PLATFORM WILL INCREASINGLY MOVE FURTHER DOWNSTREAM AND BECOME CLOSER TO CUSTOMERS
* RELIANCE INDUSTRIES SAYS COVID RELATED CURBS ON STORE OPERATIONS EASED DURING QUARTER, ENABLING 96% OF STORES TO BE OPENED
* RELIANCE INDUSTRIES SAYS RETAIL STORES IN SMALLER TOWNS ARE RECOVERING FASTER
* RELIANCE INDUSTRIES SAYS RETAIL STORES FOOTFALLS REMAINED AT SIMILAR LEVELS TO LAST QUARTER BUT STILL LOWER THAN PRE-COVID LEVELS
* RELIANCE INDUSTRIES SAYS DURING 3Q FY21, AVERAGE JIO DATA CONSUMPTION PER USER PER MONTH WAS AT 12.9 GB
* RELIANCE INDUSTRIES SAYS DURING 3Q FY21 JIO FTTH SERVICES WITNESSED INCREASED UPTAKE
* RELIANCE INDUSTRIES SAYS RETAIL BUSINESS SAW 327 STORE OPENINGS DURING QUARTER, TOTAL STORE COUNT AT 12,201 STORES
* RELIANCE INDUSTRIES SAYS JEWELRY REVENUES GREW IN HIGH DOUBLE DIGITS OVER LAST YEAR AND NEARLY DOUBLED OVER PREVIOUS QUARTER"
BRIEF-Reliance Industries Exec Says Expect Fuel Margins To Show Steady Improvement,Investing.com,https://in.investing.com/news/briefreliance-industries-exec-says-expect-fuel-margins-to-show-steady-improvement-2576481,BRIEF-Reliance Industries Exec Says Expect Fuel Margins To Show Steady Improvement,"Reuters
Stock Market News
2021-01-22 16:00","Jan 22 (Reuters) - Reliance Industries Ltd RELI.NS :
* RELIANCE INDUSTRIES EXEC SAYS JIO QUARTERLY CHURN IMPACTED BY COVID AND OTHER LOCAL ISSUES
* RELIANCE INDUSTRIES EXEC SAYS IMPACT OF COVID ON JIO SUBSIDING
* RELIANCE INDUSTRIES EXEC SAYS RETAIL ENVIRONMENT REMAINS CHALLENGING
* RELIANCE INDUSTRIES EXEC SAYS OVERALL FOOTFALL AT RELIANCE STORES HAS NOT RECOVERED TO PRE COVID LEVELS
* RELIANCE INDUSTRIES EXEC SAYS PEAK PRODUCTION IN KG D6 TO REACH CLOSE TO 30 MMSCMD IN 2023
* RELIANCE INDUSTRIES EXEC SAYS OVERHANG OF PRODUCT STOCKS, EXCESS SUPPLY FROM CHINA A CHALLENGE GOING FORWARD
* RELIANCE INDUSTRIES EXEC SAYS AIMS TO REDUCE TRANSPORTATION FUELS FOOTPRINT IN A PHASED MANNER
* RELIANCE INDUSTRIES EXEC SAYS MIDDLE DISTILLATE CRACKS SHOWING EARLY SIGNS OF IMPROVEMENT WITH INCREASED MOBILITY
* RELIANCE INDUSTRIES EXEC SAYS EXPECT FUEL MARGINS TO SHOW STEADY IMPROVEMENT WITH DEMAND REVIVAL, INVENTORY DRAWDOWN"
"Reliance Industries – SEBI Fines Mukesh Ambani, Stock Prices Didn’t Care!",Investing.com,https://in.investing.com/analysis/reliance-industries--sebi-fines-mukesh-ambani-stock-prices-didnt-care-200449914,"Reliance Industries – SEBI Fines Mukesh Ambani, Stock Prices Didn’t Care!","Stock Market Analysis
2021-01-06 06:55
Editors Pick","There is a famous saying in the markets – “During Panic, all good news is considered as Bad news, during euphoria all bad news is firmly neglected.” Sentiments and narratives are strong forces that drive the Price Action regardless of fundamentals. Markets often play according to the tunes of crowd psychology. People’s thinking and decisions most of the time are shaped by Price action and narratives.

Take a look at this Image; it simply depicts how an average trader/Investor thinks about the market in response to the Price Action in Different market stages.


After looking at the Image, Now read on…

This weekend there was a news report about Mukesh Ambani, the infamous chairman of Reliance Industries (NS: RELI ) getting fined by SEBI for 2007 manipulative trading practices. Despite the significance of such news, Reliance Industries stock prices didn’t even flinch a little. Dalal Street didn’t care! Take a look at the chart over here.



Just imagine, if the same type of news headline about a Small Cap or Mid Cap Company, What would’ve happened? The Company’s shares will be in deep red turmoil on the next second. If you think about it, you can’t help yourself but wonder about the present market situation.

Not only that, Price Action showed many signs of Uptrend losing strength – Momentum Shift, Unexpected selloff, Decreasing trading volume etc. but still, we couldn’t see any strong selling pressure in Reliance Industry Stock prices.

When you think based on the earlier point I mentioned about market narrative and Crowd Psychology – Did that Imply, we are in the beginning stages of Market Euphoria? What’s your thought? Let me know in the comments!

Original Post"
"India market regulator fines Reliance Industries, chairman over share trades - Investing.com India",Investing.com,https://in.investing.com/news/india-market-regulator-fines-reliance-industries-chairman-over-share-trades-2557154,"India market regulator fines Reliance Industries, chairman over share trades","Reuters
Stock Market News
2021-01-01 13:36","NEW DELHI, Jan 1 (Reuters) - India's market regulator said on Friday it fined Reliance Industries RELI.NS 250 million rupees ($3.42 million) and its chairman Mukesh Ambani 150 million rupees, in relation to trading Reliance Petroleum shares.
($1 = 73.1200 Indian rupees)"
Reliance Industries and chairman fined over share trades - Investing.com India,Investing.com,https://in.investing.com/news/update-1indias-reliance-industries-and-chairman-fined-over-share-trades-2557311,Reliance Industries and chairman fined over share trades,"Reuters
Stock Market News
2021-01-01 17:30","(Adds detail, background, quote)
By Abhirup Roy
MUMBAI, Jan 1 (Reuters) - India's markets watchdog fined Reliance Industries RELI.NS 250 million rupees ($3.42 million) and its chairman Mukesh Ambani 150 million rupees on Friday for what it said were fraudulent trades while selling a stake in a subsidiary in 2007.
The Securities and Exchange Board of India (SEBI) alleged that the oil-to-telecoms conglomerate took derivative short positions in shares of separately listed Reliance Petroleum in 2007 through third parties before it sold a 5% stake in the business.
Reliance did not immediately respond to requests for company comment and comment from Chairman Ambani.
The latest ruling follows a 2017 order https://www.reuters.com/article/us-reliance-sebi-idUSKBN16V2I0 for Reliance Industries to surrender about 4.5 billion rupees plus 12% annual interest for what the regulator said were unlawful gains from that deal. It also barred Reliance and some third parties from trading in derivatives for one year.
At the time, Reliance Industries said the trades examined by SEBI were ""genuine and bona fide transactions"" and that SEBI had ""misconstrued the true nature of the transactions and imposed unjustifiable sanctions"".
The group is awaiting a Supreme Court appeal hearing against the 2017 ruling.
""By this penalty, SEBI is showing its teeth,"" Shriram Subramanian, a corporate governance expert and founder of proxy advisory firm InGovern, said of Friday's ruling.
""The said scheme of manipulation was deceptive and against the interest of the securities markets,"" SEBI said in Friday's 95-page order https://www.sebi.gov.in/enforcement/orders/jan-2021/adjudication-order-in-respect-4-entities-in-the-matter-of-reliance-petroleum-limited_48637.html, adding that Ambani was responsible for the company's activities. ($1 = 73.1200 Indian rupees)"
BRIEF-Reliance Industries And BP Announce First Gas From Asia’s Deepest Project - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-and-bp-announce-first-gas-from-asias-deepest-project-2543809,BRIEF-Reliance Industries And BP Announce First Gas From Asia's Deepest Project,"Reuters
Stock Market News
2020-12-18 10:54","Dec 18 (Reuters) - Reliance Industries Ltd RELI.NS :
* RELIANCE AND BP (LON: BP ) ANNOUNCE FIRST GAS FROM ASIA'S DEEPEST PROJECT
* ANNOUNCE START OF PRODUCTION FROM R CLUSTER, ULTRA-DEEP-WATER GAS FIELD IN BLOCK KG D6
* NEXT PROJECT, THE SATELLITES CLUSTER, EXPECTED TO COME ONSTREAM IN 2021
* PEAK GAS PRODUCTION FROM THREE FIELDS IS EXPECTED TO BE AROUND 30 MMSCMD (1 BCF/D) BY 2023
* MJ PROJECT EXPECTED TO COME ONSTREAM IN 2022"
BRIEF-Reliance Industries Says Reliance Retail Ventures Completes Fund Raise Of 472.65 Bln Rupees - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-says-reliance-retail-ventures-completes-fund-raise-of-47265-bln-rupees-2512812,BRIEF-Reliance Industries Says Reliance Retail Ventures Completes Fund Raise Of 472.65 Bln Rupees,"Reuters
Stock Market News
2020-11-19 14:18","Nov 19 (Reuters) - Reliance Industries Ltd RELI.NS :
* RELIANCE INDUSTRIES LTD - RELIANCE RETAIL VENTURES COMPLETES FUND RAISE OF 472.65 BILLION RUPEES FOR 10.09% STAKE IN CO
* RELIANCE INDUSTRIES SAYS ALL INVESTMENTS HAVE BEEN COMPLETED, WITH RECEIPT OF FUNDS AND ISSUE OF SHARES"
Reliance Industries and Tata Steel Push Nifty to Record Highs - Investing.com India,Investing.com,https://in.investing.com/news/reliance-industries-and-tata-steel-push-nifty-to-record-highs-2509138,Reliance Industries and Tata Steel Push Nifty to Record Highs,"Investing.com
Stock Market News
2020-11-17 05:29","Aditya Raghunath
Investing.com -- The BSE Sensex and Nifty indices scaled new highs on November 17 as Indian markets caught up with the good news of Moderna’s vaccine success. The Sensex hit an all-time high of 44,161 while the Nifty touched 12,934.
Tata Steel (NS: TISC ) was trading at Rs. 527.2, up over 7% thanks to its better than expected results for the second quarter of fiscal 2021. Revenues came in at Rs. 37,154 crore compared to Rs. 34,579 crore for the same period in 2019. EBITDA (earnings before interest, taxes, depreciation, and amortization) stood at Rs. 6,217 crore compared to Rs. 3,893 crore in 2019. The company said it achieved the best-ever quarterly volumes in India, as it grew both sequentially as well as year-on-year.
Reliance Industries (NS: RELI ) was trading 0.61% higher on news that its subsidiary Reliance Retail Ventures (RRVL) acquired a 96% stake in online furniture player Urban Ladder Home Décor Solutions for Rs. 182.12 crores. This acquisition gives RRVL much-needed leverage in the online and digital space. The company also has the option of buying out the remaining equity in the company taking its holding to 100%.
State Bank of India (NS: SBI ) (up 2.46%) and HDFC Bank (NS: HDBK ) (up 1.76%) also pushed Bank Nifty higher by 0.66%."
